date,sku,category,brand,day_of_week,net_qty,is_ramadan,is_eid_fitr,is_eid_adha,price,cost,lag_1,lag_7,lag_14,rolling_mean_7,rolling_std_7,rolling_mean_14,rolling_std_14,is_on_sale,is_in_stock,cat_lag_1,cat_lag_7,cat_lag_14,cat_rolling_mean_7,cat_rolling_std_7,cat_rolling_mean_14,cat_rolling_std_14
24/07/2025,IC-1001018,Health & Beauty,Maybelline New York,Thursday,0,0,0,0,1749,1247.62,,,,,,,,0,1,,,,,,,
25/07/2025,IC-1001018,Health & Beauty,Maybelline New York,Friday,0,0,0,0,1749,1247.62,0.0,,,,,,,0,1,44.0,,,,,,
26/07/2025,IC-1001018,Health & Beauty,Maybelline New York,Saturday,0,0,0,0,1749,1247.62,0.0,,,,,,,0,1,65.0,,,,,,
27/07/2025,IC-1001018,Health & Beauty,Maybelline New York,Sunday,0,0,0,0,1749,1247.62,0.0,,,,,,,0,1,56.0,,,,,,
28/07/2025,IC-1001018,Health & Beauty,Maybelline New York,Monday,0,0,0,0,1749,1247.62,0.0,,,,,,,0,1,60.0,,,,,,
29/07/2025,IC-1001018,Health & Beauty,Maybelline New York,Tuesday,1,0,0,0,1749,1247.62,0.0,,,,,,,1,1,62.0,,,,,,
30/07/2025,IC-1001018,Health & Beauty,Maybelline New York,Wednesday,2,0,0,0,1749,1247.62,1.0,,,,,,,1,1,48.0,,,,,,
31/07/2025,IC-1001018,Health & Beauty,Maybelline New York,Thursday,1,0,0,0,1749,1247.62,2.0,0.0,,0.428571429,0.786795792,,,1,1,93.0,44.0,,61.142857142857146,15.941858647687766,,
01/08/2025,IC-1001018,Health & Beauty,Maybelline New York,Friday,0,0,0,0,1749,1247.62,1.0,0.0,,0.571428571,0.786795792,,,0,1,99.0,65.0,,69.0,19.287301521985913,,
02/08/2025,IC-1001018,Health & Beauty,Maybelline New York,Saturday,46,0,0,0,1749,1247.62,0.0,0.0,,0.571428571,0.786795792,,,1,1,54.0,56.0,,67.42857142857143,20.0985666392502,,
03/08/2025,IC-1001018,Health & Beauty,Maybelline New York,Sunday,37,0,0,0,1749,1247.62,46.0,0.0,,7.142857143,17.15059349,,,1,1,138.0,60.0,,79.14285714285714,32.43675164289509,,
04/08/2025,IC-1001018,Health & Beauty,Maybelline New York,Monday,0,0,0,0,1749,1247.62,37.0,0.0,,12.42857143,20.04043532,,,0,1,227.0,62.0,,103.0,63.01322612489116,,
05/08/2025,IC-1001018,Health & Beauty,Maybelline New York,Tuesday,3,0,0,0,1749,1247.62,0.0,1.0,,12.42857143,20.04043532,,,1,1,55.0,48.0,,102.0,63.82267099811267,,
06/08/2025,IC-1001018,Health & Beauty,Maybelline New York,Wednesday,0,0,0,0,1749,1247.62,3.0,2.0,,12.71428571,19.8638221,,,0,1,48.0,93.0,,102.0,63.82267099811267,,
07/08/2025,IC-1001018,Health & Beauty,Maybelline New York,Thursday,0,0,0,0,1749,1247.62,0.0,1.0,0.0,12.42857143,20.05706146,6.428571429,14.99083969,0,1,57.0,99.0,44.0,96.85714285714286,66.0793174183586,79.0,49.759421218498915
08/08/2025,IC-1001018,Health & Beauty,Maybelline New York,Friday,0,0,0,0,1749,1247.62,0.0,0.0,0.0,12.28571429,20.15534905,6.428571429,14.99083969,0,1,39.0,54.0,65.0,88.28571428571429,69.55504842859906,78.64285714285714,50.047065760230055
