sku,product_name
IC-1001018,Maybelline New York Volum' Express Colossal Mascara 100% Black
IC-1005194,"Kolson Potato Sticks, Pepper & Salt, 38g"
IC-1018771,"Nestle Nesvita Low Fat Milk, 200ml"
IC-1018988,"Olper's Full Cream Milk, 1000ml"
IC-1020926,"Pears Transparent Soap With Natural Oils, 125g"
IC-1032718,"Candyland Chili Mili Jelly, Fun Pack 20g"
IC-1037570,Rose Petal Pop Up Tissue
IC-1042719,Tibet Snow Cream
IC-1044104,"Butterfly Breathables Ultra Thin Pads, Extra Large, 10-Pack"
IC-1044359,"Tinkle Women Eyebrow Razor, 3 Pieces"
IC-1053521,Nestle Pure Life Drinking Water 1.5 Litres
IC-1053526,"Nestle Pure Life Drinking Water, 500ml"
IC-1055803,Naheed Sugar Danedar Special 1 KG
IC-1057685,Masafi Pure Drinking Water 500ml
IC-1088406,Maybelline New York Colossal Kajal
IC-1094191,Calypso Passion Bath Flower Loofah
IC-1097379,"Simple Kind To Skin Refreshing Facial Wash Gel, Alcohol + Paraben Free, 150ml"
IC-1116441,Day Fresh Full Cream Milk 250ml
IC-1133439,Aquafina Water 6 Litre
IC-1134493,Maybelline New York Baby Skin Lightweight Primer
IC-1138507,"Knorr Noodles Chatt Patta, 66g, Family Pack, 4 Pieces"
IC-1147930,"Nestle Pure Life Drinking Water, 330ml"
IC-1166005,Dayfresh Lactose Free Milk 200ml
IC-1166218,"Neutrogena Hydro Boost Cleanser Water Gel, 200ml"
IC-1166220,"Neutrogena Hydro Boost Water Gel, Normal to Combination Skin, 50ml"
IC-1172128,"OGX Thick & Full + Biotin & Collagen Shampoo, Sulfate Free, 385ml"
IC-1177117,"Samyang Carbo Hot Chicken Flavor Ramen Noodle, Stir-Fried, 130g"
IC-1178591,"Maybelline Fit Me Matte + Poreless Liquid Foundation, 115, Ivory"
IC-1178594,"Maybelline Fit Me Matte + Poreless Liquid Foundation, 120, Classic Ivory, 18ml"
IC-1185817,"Garnier Skin Active Hydra Bomb Ultra Hydrating Glow Boosting Face Mask, For Dull Skin, 32g"
