date,sku,product_name,category,brand,day_of_week,net_qty,revenue,order_count,coupon_orders,is_promo_order_present,is_ramadan,is_eid_fitr,is_eid_adha,price,special_price,cost,is_in_stock,current_stock_qty,is_active,visibility,lag_1,lag_7,lag_14,rolling_mean_7,rolling_std_7,rolling_mean_14,rolling_std_14,is_on_sale,avg_discount_pct
24/07/2025,IC-1001018,Maybelline New York Volum' Expre,Health & Beauty,Maybelline New York,Thursday,0,0,0,0,0,0,0,0,1749,,1247.62,1,45,1,4,,,,,,,,0,
25/07/2025,IC-1001018,Maybelline New York Volum' Expre,Health & Beauty,Maybelline New York,Friday,0,0,0,0,0,0,0,0,1749,,1247.62,1,45,1,4,0,,,,,,,0,
26/07/2025,IC-1001018,Maybelline New York Volum' Expre,Health & Beauty,Maybelline New York,Saturday,0,0,0,0,0,0,0,0,1749,,1247.62,1,45,1,4,0,,,,,,,0,
27/07/2025,IC-1001018,Maybelline New York Volum' Expre,Health & Beauty,Maybelline New York,Sunday,0,0,0,0,0,0,0,0,1749,,1247.62,1,45,1,4,0,,,,,,,0,
28/07/2025,IC-1001018,Maybelline New York Volum' Expre,Health & Beauty,Maybelline New York,Monday,0,0,0,0,0,0,0,0,1749,,1247.62,1,45,1,4,0,,,,,,,0,
29/07/2025,IC-1001018,Maybelline New York Volum' Expre,Health & Beauty,Maybelline New York,Tuesday,1,2974,2,0,0,0,0,0,1749,,1247.62,1,45,1,4,0,,,,,,,1,0.1498
30/07/2025,IC-1001018,Maybelline New York Volum' Expre,Health & Beauty,Maybelline New York,Wednesday,2,2974,2,0,0,0,0,0,1749,,1247.62,1,45,1,4,1,,,,,,,1,0.1498
31/07/2025,IC-1001018,Maybelline New York Volum' Expre,Health & Beauty,Maybelline New York,Thursday,1,1487,1,0,1,0,0,0,1749,,1247.62,1,45,1,4,2,0,,0.428571429,0.786795792,,,1,0.1498
01/08/2025,IC-1001018,Maybelline New York Volum' Expre,Health & Beauty,Maybelline New York,Friday,0,0,0,0,0,0,0,0,1749,,1247.62,1,45,1,4,1,0,,0.571428571,0.786795792,,,0,
02/08/2025,IC-1001018,Maybelline New York Volum' Expre,Health & Beauty,Maybelline New York,Saturday,46,111194,21,3,1,0,0,0,1749,,1247.62,1,45,1,4,0,0,,0.571428571,0.786795792,,,1,0.4002
03/08/2025,IC-1001018,Maybelline New York Volum' Expre,Health & Beauty,Maybelline New York,Sunday,37,44758,18,2,1,0,0,0,1749,,1247.62,1,45,1,4,46,0,,7.142857143,17.15059349,,,1,0.4002
04/08/2025,IC-1001018,Maybelline New York Volum' Expre,Health & Beauty,Maybelline New York,Monday,0,0,0,0,0,0,0,0,1749,,1247.62,1,45,1,4,37,0,,12.42857143,20.04043532,,,0,
