fold,test_start,test_end,tuned_accuracy,default_accuracy
1,2026-02-03,2026-02-09,55.36121888506314,53.97141836398329
2,2026-02-10,2026-02-16,61.52661711781665,59.44483448024129
3,2026-02-17,2026-02-23,74.44311597055997,67.31289367567678
4,2026-02-24,2026-03-02,70.5613942229188,69.86477709502572
5,2026-03-03,2026-03-09,66.28381426076307,66.94583272562654
6,2026-03-10,2026-03-16,58.99786653807465,58.97397377690693
7,2026-03-17,2026-03-23,50.42445060872235,53.072887229659095
8,2026-03-24,2026-03-30,56.19039000674879,54.09294680477256
9,2026-03-31,2026-04-06,65.30713676345364,67.51983894494441
10,2026-04-07,2026-04-13,53.07171405416176,56.12053281730189
11,2026-04-14,2026-04-20,61.012156520901264,64.38650351161698
12,2026-04-21,2026-04-27,66.75552519646126,66.1462417532758
13,2026-04-28,2026-05-04,67.07908936920224,62.71517931432638
14,2026-05-05,2026-05-11,68.93489306030881,70.06161986248448
15,2026-05-12,2026-05-18,62.6964983730594,61.49726416983036
16,2026-05-19,2026-05-25,58.49973118654246,56.565397746637565
17,2026-05-26,2026-06-01,25.05995836454605,27.11098930021258
18,2026-06-02,2026-06-08,62.0071275320649,61.23789043949569
19,2026-06-09,2026-06-15,65.71419440910874,65.29370364598677
20,2026-06-16,2026-06-22,54.406305287919004,52.67907692183355
21,2026-06-23,2026-06-29,74.94485988333263,73.59621981632432
22,2026-06-30,2026-07-06,65.05913599057385,64.94871467903845
23,2026-07-07,2026-07-13,67.73034753825064,67.76527514760204
24,2026-07-14,2026-07-20,62.891018875382976,61.200781531805205
