sku,week,week_start,week_end,n_days,actual,predicted,accuracy_pct
IC-1001018,1,2026-05-27,2026-06-02,7,0,4.1,
IC-1001018,2,2026-06-03,2026-06-09,7,0,4.1,
IC-1001018,3,2026-06-10,2026-06-16,7,0,4.2,
IC-1001018,4,2026-06-17,2026-06-23,7,0,4.2,
IC-1001018,5,2026-06-24,2026-06-30,7,0,4.2,
IC-1001018,6,2026-07-01,2026-07-07,7,0,4.2,
IC-1001018,7,2026-07-08,2026-07-14,7,0,4.3,
IC-1001018,8,2026-07-15,2026-07-21,7,0,4.4,
IC-1005194,1,2026-05-27,2026-06-02,7,49,55.5,15.6
IC-1005194,2,2026-06-03,2026-06-09,7,131,89.8,53.9
IC-1005194,3,2026-06-10,2026-06-16,7,123,92.1,61.9
IC-1005194,4,2026-06-17,2026-06-23,7,207,107.9,49.3
IC-1005194,5,2026-06-24,2026-06-30,7,95,94.2,11.3
IC-1005194,6,2026-07-01,2026-07-07,7,180,104.4,49.1
IC-1005194,7,2026-07-08,2026-07-14,7,200,111.8,55.8
IC-1005194,8,2026-07-15,2026-07-21,7,134,101.1,51.3
IC-1018771,1,2026-05-27,2026-06-02,7,146,147.0,24.3
IC-1018771,2,2026-06-03,2026-06-09,7,263,196.3,47.4
IC-1018771,3,2026-06-10,2026-06-16,7,332,208.9,56.3
IC-1018771,4,2026-06-17,2026-06-23,7,283,196.2,53.2
IC-1018771,5,2026-06-24,2026-06-30,7,229,209.2,36.6
IC-1018771,6,2026-07-01,2026-07-07,7,432,203.6,36.0
IC-1018771,7,2026-07-08,2026-07-14,7,186,183.1,32.5
IC-1018771,8,2026-07-15,2026-07-21,7,282,186.5,45.4
IC-1018988,1,2026-05-27,2026-06-02,7,78,58.8,41.6
IC-1018988,2,2026-06-03,2026-06-09,7,265,90.7,34.2
IC-1018988,3,2026-06-10,2026-06-16,7,285,97.5,34.2
IC-1018988,4,2026-06-17,2026-06-23,7,193,99.5,48.4
IC-1018988,5,2026-06-24,2026-06-30,7,147,95.3,38.2
IC-1018988,6,2026-07-01,2026-07-07,7,268,93.6,34.5
IC-1018988,7,2026-07-08,2026-07-14,7,237,96.6,40.7
IC-1018988,8,2026-07-15,2026-07-21,7,65,79.0,56.0
IC-1020926,1,2026-05-27,2026-06-02,7,19,26.9,1.8
IC-1020926,2,2026-06-03,2026-06-09,7,52,39.1,52.0
IC-1020926,3,2026-06-10,2026-06-16,7,22,34.5,16.3
IC-1020926,4,2026-06-17,2026-06-23,7,66,37.2,56.3
IC-1020926,5,2026-06-24,2026-06-30,7,70,46.2,51.5
IC-1020926,6,2026-07-01,2026-07-07,7,53,39.1,69.0
IC-1020926,7,2026-07-08,2026-07-14,7,39,39.2,58.1
IC-1020926,8,2026-07-15,2026-07-21,7,39,36.0,37.3
IC-1032718,1,2026-05-27,2026-06-02,7,57,84.5,30.3
IC-1032718,2,2026-06-03,2026-06-09,7,258,129.4,48.7
IC-1032718,3,2026-06-10,2026-06-16,7,114,140.8,14.0
IC-1032718,4,2026-06-17,2026-06-23,7,98,120.2,36.4
IC-1032718,5,2026-06-24,2026-06-30,7,162,121.8,39.5
IC-1032718,6,2026-07-01,2026-07-07,7,215,124.1,57.7
IC-1032718,7,2026-07-08,2026-07-14,7,167,130.3,50.7
IC-1032718,8,2026-07-15,2026-07-21,7,48,109.7,-56.1
IC-1037570,1,2026-05-27,2026-06-02,7,69,62.7,46.7
IC-1037570,2,2026-06-03,2026-06-09,7,179,132.1,66.2
IC-1037570,3,2026-06-10,2026-06-16,7,78,93.9,63.0
IC-1037570,4,2026-06-17,2026-06-23,7,60,78.1,50.0
