order_id,city,region,postcode,country_id
110345,Karachi,Sindh,,PK
110346,Karachi,Sindh,,PK
110347,Karachi,Sindh,,PK
110348,Karachi,Sindh,,PK
110349,Karachi,Sindh,,PK
110350,Karachi,Sindh,,PK
110351,Karachi,Sindh,,PK
110352,Karachi,Sindh,,PK
110353,Karachi,Sindh,,PK
110354,Ahmed Pur East,Balochistan,,PK
110355,Sakrand,Khyber Pakhtunkhwa,,PK
110356,Karachi,Sindh,,PK
110357,Jhelum,Punjab,,PK
110358,Pasroor,Punjab,,PK
110359,Tando Adam,Balochistan,,PK
110360,Khanqa Sharif,Khyber Pakhtunkhwa,,PK
110361,Alipur,Sindh,,PK
110362,Nankana Sahib,Balochistan,,PK
110363,Hafizabad,Sindh,,PK
110364,Islamabad,Islamabad,,PK
110365,Abbotabad,Sindh,,PK
110366,Badin,Sindh,,PK
110367,Chachro,Punjab,,PK
110368,Dadu,Punjab,,PK
110369,Shinkiari,Gilgit-Baltistan,,PK
110370,Ellah Abad,Gilgit-Baltistan,,PK
110371,Adda Zakheera,Gilgit-Baltistan,,PK
110372,Faisalabad,Khyber Pakhtunkhwa,,PK
110373,Attock,Gilgit-Baltistan,,PK
110374,Gadoon Amazai,Sindh,,PK
110375,Gujrat,Punjab,,PK
110376,Zhob,Azad Kashmir,,PK
110377,Iqbal Nagar,Gilgit-Baltistan,,PK
110378,Jabelali,Punjab,,PK
110379,Karachi,Sindh,,PK
110380,Karachi,Sindh,,PK
110381,Karachi,Sindh,,PK
110382,Karachi,Sindh,,PK
110383,Karachi,Sindh,,PK
110384,Karachi,Sindh,,PK
110385,Karachi,Sindh,,PK
110386,Karachi,Sindh,,PK
110387,Karachi,Sindh,,PK
110388,Karachi,Sindh,,PK
110389,Karachi,Sindh,,PK
110390,Karachi,Sindh,,PK
110391,Karachi,Sindh,,PK
110392,Karachi,Sindh,,PK
110394,Karachi,Sindh,,PK
110395,Karachi,Sindh,,PK
110397,Lahore,Punjab,,PK
110398,Lahore,Punjab,,PK
110399,Karachi,Sindh,,PK
110400,Karachi,Sindh,,PK
110401,Karachi,Sindh,,PK
110402,Karachi,Sindh,,PK
110403,Karachi,Sindh,,PK
110404,Karachi,Sindh,,PK
110405,Karachi,Sindh,,PK
110406,Adda Bun Bosan,Khyber Pakhtunkhwa,,PK
110407,Karachi,Sindh,,PK
110408,Adda Bun Bosan,Khyber Pakhtunkhwa,,PK
110409,Karachi,Sindh,,PK
110410,Karachi,Sindh,,PK
110411,Karachi,Sindh,,PK
110412,Karachi,Sindh,,PK
110413,Adda Lar,Khyber Pakhtunkhwa,,PK
110414,Karachi,Balochistan,,PK
110415,Karachi,Balochistan,,PK
110416,Karachi,Balochistan,,PK
110417,Karachi,Balochistan,,PK
110418,Karachi,Balochistan,,PK
110419,Karachi,Balochistan,,PK
110420,Karachi,Balochistan,,PK
110421,Karachi,Balochistan,,PK
110433,Karachi,Sindh,,PK
110434,Karachi,Sindh,,PK
110435,Karachi,Sindh,,PK
110443,Quetta,Balochistan,,PK
110450,Abdul Hakim,Khyber Pakhtunkhwa,,PK
110451,Karachi,Sindh,,PK
110452,Karachi,Sindh,,PK
110453,Karachi,Sindh,,PK
110454,Sadiqabad,Sindh,,PK
110455,Karachi,Sindh,,PK
110456,Adda Zakheera,Gilgit-Baltistan,,PK
110457,Karachi,Sindh,,PK
110458,Karachi,Sindh,,PK
110459,Islamabad,Islamabad,,PK
110460,Karachi,Sindh,,PK
110461,Ahmed Pur Lamma,Punjab,,PK
110462,Karachi,Sindh,,PK
110463,Karachi,Sindh,,PK
110464,Karachi,Balochistan,,PK
110465,Islamabad,Islamabad,,PK
110466,Karachi,Sindh,,PK
110467,Karachi,Sindh,,PK
110468,Karachi,Sindh,,PK
110469,Islamabad,Islamabad,,PK
110470,Adda Lar,Khyber Pakhtunkhwa,,PK
110471,Adda Zakheera,Khyber Pakhtunkhwa,,PK
110472,Karachi,Sindh,,PK
110473,Karachi,Sindh,,PK
110474,Karachi,Sindh,,PK
110476,Ahmed Pur Sial,Khyber Pakhtunkhwa,,PK
110477,Abbotabad,Islamabad,,PK
110479,Karachi,Sindh,,PK
110478,Sadiqabad,Azad Kashmir,,PK
110481,Abbotabad,Khyber Pakhtunkhwa,,PK
110482,Karachi,Sindh,,PK
110483,18 Hazari,Balochistan,,PK
110484,Karachi,Sindh,,PK
110486,Karachi,Sindh,,PK
110485,Multan,Punjab,,PK
110487,Karachi,Sindh,,PK
110488,Karachi,Sindh,,PK
110489,Lahore,Azad Kashmir,,PK
110490,Karachi,Sindh,,PK
110491,Karachi,Sindh,,PK
110492,Karachi,Sindh,,PK
110493,Karachi,Sindh,,PK
110494,Karachi,Sindh,,PK
110501,Sadiqabad,Sindh,,PK
110502,Sadiqabad,Sindh,,PK
110503,Sadiqabad,Sindh,,PK
110504,Karachi,Sindh,,PK
110505,Karachi,Gilgit-Baltistan,,PK
110506,Karachi,Gilgit-Baltistan,,PK
110507,Islamabad,Islamabad,,PK
110508,Sadiqabad,Sindh,,PK
110509,Sadiqabad,Sindh,,PK
110510,Sadiqabad,Sindh,,PK
110511,Karachi,Sindh,,PK
110512,Karachi,Sindh,,PK
110513,Karachi,Sindh,,PK
110514,Karachi,Sindh,,PK
110515,Karachi,Sindh,,PK
110516,Karachi,Sindh,,PK
110517,Karachi,Sindh,,PK
110518,Karachi,Sindh,,PK
110519,Karachi,Sindh,,PK
110520,Karachi,Sindh,,PK
110521,Karachi,Sindh,,PK
110522,Karachi,Sindh,,PK
110523,Karachi,Sindh,,PK
110524,Karachi,Sindh,,PK
110525,Karachi,Sindh,,PK
110526,Karachi,Sindh,,PK
110527,Karachi,Sindh,,PK
110528,Karachi,Sindh,,PK
110529,Karachi,Sindh,,PK
110530,Karachi,Sindh,,PK
110531,Karachi,Sindh,,PK
110532,Karachi,Sindh,,PK
110533,Karachi,Sindh,,PK
110534,Quetta,Sindh,,PK
110535,Karachi,Azad Kashmir,,PK
110536,Karachi,Sindh,,PK
110537,Peshawar,Azad Kashmir,,PK
110538,Karachi,Sindh,,PK
110539,Karachi,Sindh,,PK
110540,Peshawar,Azad Kashmir,,PK
110541,Peshawar,Azad Kashmir,,PK
110542,Peshawar,Azad Kashmir,,PK
110543,Peshawar,Azad Kashmir,,PK
110544,Karachi,Sindh,,PK
110545,Peshawar,Azad Kashmir,,PK
110546,Peshawar,Azad Kashmir,,PK
110547,Karachi,Sindh,,PK
