snapshot_id,product_id,stock_in_transit,is_in_stock,min_qty,notify_stock_qty,backorders,stock_flag,snapshot_date,days_out_of_stock,location_id,stock_on_hand
2026-07-14:130:ALL,130,0,0,0.0,1.0,0,ok,2026-07-14,0.0,ALL,0.0
2026-07-14:131:ALL,131,0,0,0.0,1.0,0,negative_clamped,2026-07-14,0.0,ALL,0.0
2026-07-14:132:ALL,132,0,1,0.0,1.0,0,ok,2026-07-14,0.0,ALL,24.0
2026-07-14:133:ALL,133,0,1,0.0,1.0,0,sentinel_unmanaged,2026-07-14,0.0,ALL,
2026-07-14:134:ALL,134,0,1,0.0,1.0,0,ok,2026-07-14,0.0,ALL,45.0
2026-07-14:135:ALL,135,0,0,0.0,1.0,0,ok,2026-07-14,0.0,ALL,0.0
2026-07-14:137:ALL,137,0,0,0.0,0.0,0,ok,2026-07-14,0.0,ALL,0.0
2026-07-14:140:ALL,140,0,0,0.0,0.0,0,negative_clamped,2026-07-14,0.0,ALL,0.0
2026-07-14:141:ALL,141,0,0,0.0,0.0,0,ok,2026-07-14,0.0,ALL,0.0
2026-07-14:142:ALL,142,0,0,0.0,0.0,0,negative_clamped,2026-07-14,253.0,ALL,0.0
2026-07-14:145:ALL,145,0,0,0.0,0.0,0,ok,2026-07-14,253.0,ALL,0.0
2026-07-14:146:ALL,146,0,1,0.0,1.0,0,ok,2026-07-14,0.0,ALL,5.0
2026-07-14:147:ALL,147,0,0,0.0,0.0,0,ok,2026-07-14,253.0,ALL,0.0
2026-07-14:148:ALL,148,0,0,0.0,0.0,0,ok,2026-07-14,0.0,ALL,0.0
2026-07-14:149:ALL,149,0,1,0.0,1.0,0,ok,2026-07-14,0.0,ALL,44.0
2026-07-14:150:ALL,150,0,1,0.0,0.0,0,ok,2026-07-14,0.0,ALL,12.0
2026-07-14:151:ALL,151,0,1,0.0,1.0,0,ok,2026-07-14,0.0,ALL,7.0
2026-07-14:152:ALL,152,0,1,0.0,0.0,0,ok,2026-07-14,0.0,ALL,7.0
2026-07-14:154:ALL,154,0,1,0.0,0.0,0,ok,2026-07-14,0.0,ALL,3.0
2026-07-14:155:ALL,155,0,0,0.0,1.0,0,ok,2026-07-14,253.0,ALL,0.0
2026-07-14:156:ALL,156,0,1,0.0,0.0,0,ok,2026-07-14,0.0,ALL,1.0
2026-07-14:157:ALL,157,0,0,0.0,0.0,0,ok,2026-07-14,253.0,ALL,0.0
2026-07-14:158:ALL,158,0,1,0.0,0.0,0,ok,2026-07-14,0.0,ALL,6.0
2026-07-14:159:ALL,159,0,1,0.0,0.0,0,ok,2026-07-14,0.0,ALL,14.0
2026-07-14:160:ALL,160,0,1,0.0,0.0,0,ok,2026-07-14,0.0,ALL,6.0
2026-07-14:161:ALL,161,0,1,0.0,0.0,0,ok,2026-07-14,0.0,ALL,6.0
2026-07-14:162:ALL,162,0,1,0.0,0.0,0,ok,2026-07-14,0.0,ALL,15.0
2026-07-14:163:ALL,163,0,1,0.0,0.0,0,ok,2026-07-14,0.0,ALL,8.0
2026-07-14:164:ALL,164,0,1,0.0,0.0,0,ok,2026-07-14,0.0,ALL,10.0
2026-07-14:165:ALL,165,0,1,0.0,0.0,0,ok,2026-07-14,0.0,ALL,6.0
2026-07-14:166:ALL,166,0,0,0.0,0.0,0,ok,2026-07-14,253.0,ALL,0.0
2026-07-14:167:ALL,167,0,1,0.0,0.0,0,ok,2026-07-14,0.0,ALL,12.0
2026-07-14:168:ALL,168,0,1,0.0,0.0,0,ok,2026-07-14,0.0,ALL,11.0
2026-07-14:169:ALL,169,0,0,0.0,0.0,0,ok,2026-07-14,253.0,ALL,0.0
2026-07-14:170:ALL,170,0,1,0.0,0.0,0,ok,2026-07-14,0.0,ALL,2.0
2026-07-14:171:ALL,171,0,1,0.0,0.0,0,ok,2026-07-14,0.0,ALL,1.0
2026-07-14:172:ALL,172,0,1,0.0,0.0,0,ok,2026-07-14,0.0,ALL,6.0
2026-07-14:173:ALL,173,0,1,0.0,0.0,0,ok,2026-07-14,0.0,ALL,9.0
2026-07-14:174:ALL,174,0,1,0.0,0.0,0,ok,2026-07-14,0.0,ALL,5.0
2026-07-14:175:ALL,175,0,1,0.0,0.0,0,ok,2026-07-14,0.0,ALL,4.0
2026-07-14:176:ALL,176,0,1,0.0,0.0,0,ok,2026-07-14,0.0,ALL,2.0
2026-07-14:178:ALL,178,0,1,0.0,0.0,0,ok,2026-07-14,0.0,ALL,6.0
2026-07-14:179:ALL,179,0,1,0.0,0.0,0,ok,2026-07-14,0.0,ALL,11.0
2026-07-14:180:ALL,180,0,1,0.0,0.0,0,ok,2026-07-14,0.0,ALL,2.0
2026-07-14:182:ALL,182,0,1,0.0,1.0,0,ok,2026-07-14,0.0,ALL,4.0
2026-07-14:183:ALL,183,0,1,0.0,0.0,0,ok,2026-07-14,0.0,ALL,5.0
2026-07-14:184:ALL,184,0,1,0.0,0.0,0,ok,2026-07-14,0.0,ALL,2.0
2026-07-14:185:ALL,185,0,1,0.0,0.0,0,ok,2026-07-14,0.0,ALL,8.0
2026-07-14:186:ALL,186,0,1,0.0,0.0,0,ok,2026-07-14,0.0,ALL,3.0
2026-07-14:187:ALL,187,0,1,0.0,0.0,0,ok,2026-07-14,0.0,ALL,9.0
