rule_id,name,from_date,to_date,is_active,simple_action,discount_amount,coupon_type,coupon_code
4,Get Rs. 100 OFF on Purchase of Rs. 2000 or more.,2019-01-14,,1,cart_fixed,100.0,2,AHSAN100
6,Bloggers Coupon,2019-02-08,,1,cart_fixed,3000.0,3,NPK-138-812
6,Bloggers Coupon,2019-02-08,,1,cart_fixed,3000.0,3,NPK-348-024
7,Falak/618,2019-02-11,,1,cart_fixed,300.0,2,NPK-SORRY-01
8,AmnaTest,2019-08-01,,1,by_percent,5.0,2,AmnaTest
9,Flat 200 OFF,2020-09-17,,0,cart_fixed,200.0,1,
10,For app,2021-07-06,,0,by_percent,50.0,1,
11,FAHAD TEST,2021-12-16,,1,by_percent,10.0,2,FAHADTEST
12,Get Rs. 200 OFF on Purchase of Rs. 500 or more.,2025-01-20,,1,cart_fixed,200.0,2,AB200
13,Get Rs. 500 OFF on Purchase of Rs. 2000 or more.,2025-04-24,,1,cart_fixed,500.0,2,RS500OFF
14,test,2026-06-12,2026-06-27,1,by_percent,100.0,2,RU-TEST-1
