transaction_id,order_id,product_id,sku_id,product_name,channel,order_status,order_state,transaction_date,transaction_ts,qty_ordered,qty_invoiced,qty_shipped,qty_canceled,qty_refunded,quantity_sold,unit_price,discount_amount,row_total,customer_id_hash
823388,110345,3295,IC-1000754,"L'Oreal Paris Casting Hair Color, 300 Dark Brown",online_delivery,shipped,processing,2020-09-14,2020-09-14 12:09:44,1.0,0.0,1.0,0.0,0.0,1.0,1449.0,0.0,1449.0,
823389,110345,28159,Free-Tea-All,Free Tea,online_delivery,shipped,processing,2020-09-14,2020-09-14 12:09:44,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,
823390,110345,28162,Free-Perfume,Free J. Perfume Sample,online_delivery,shipped,processing,2020-09-14,2020-09-14 12:09:44,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,
823391,110346,141,IC-1143712,Beaver Professional Keratin Hair Thickening Shampoo 410ml,online_delivery,pending,new,2020-09-17,2020-09-17 04:21:51,3.0,0.0,0.0,0.0,0.0,3.0,3200.0,0.0,9600.0,
823392,110346,28143,IC-1196659,"Avsar Natural Mineral Water, 200ml",online_delivery,pending,new,2020-09-17,2020-09-17 04:21:51,3.0,0.0,0.0,0.0,0.0,3.0,140.0,0.0,420.0,
823393,110346,10379,IC-1157953,Jockey Seamless A-Shirts Small White #MR1040-2,online_delivery,pending,new,2020-09-17,2020-09-17 04:21:51,3.0,0.0,0.0,0.0,0.0,3.0,950.0,0.0,2850.0,
823394,110346,27623,IC-1195239,"Aukey Dual Port USB Car Charger, Black, CC-T8",online_delivery,pending,new,2020-09-17,2020-09-17 04:21:51,2.0,0.0,0.0,0.0,0.0,2.0,3400.0,0.0,6800.0,
823395,110346,27523,IC-1195236,"Aukey Impulse Braided Nylon USB-C To USB-C Cable, 2m, Black, CB-CD19",online_delivery,pending,new,2020-09-17,2020-09-17 04:21:51,1.0,0.0,0.0,0.0,0.0,1.0,1700.0,0.0,1700.0,
823396,110346,7056,IC-1161474,NHL 19 - Xbox One,online_delivery,pending,new,2020-09-17,2020-09-17 04:21:51,1.0,0.0,0.0,0.0,0.0,1.0,10500.0,0.0,10500.0,
823397,110346,27524,IC-1195238,"Aukey Graphite Wireless Charger, Black, LC-C5",online_delivery,pending,new,2020-09-17,2020-09-17 04:21:51,3.0,0.0,0.0,0.0,0.0,3.0,2500.0,0.0,7500.0,
