order_id,sku,product_id,qty_shipped,shipment_date
110351,IC-1185368,19998,1.0,2020-09-21 08:29:31
110351,Free-Tea-All,28159,2.0,2020-09-21 08:29:31
110351,Free-Perfume,28162,1.0,2020-09-21 08:29:31
110350,IC-1188181,21340,2.0,2020-09-21 08:29:32
110350,IC-1083997,27491,1.0,2020-09-21 08:29:32
110350,Free-Tea-All,28159,2.0,2020-09-21 08:29:32
110350,Free-Perfume,28162,1.0,2020-09-21 08:29:32
110345,IC-1000754,3295,1.0,2020-09-24 10:11:35
110345,Free-Tea-All,28159,2.0,2020-09-24 10:11:35
110345,Free-Perfume,28162,1.0,2020-09-24 10:11:35
110352,IC-1196653,28141,1.0,2020-09-28 09:56:31
110352,IC-1196656,28135,1.0,2020-09-28 09:56:31
110352,Free-Tea-All,28159,2.0,2020-09-28 09:56:31
110352,Free-Perfume,28162,1.0,2020-09-28 09:56:31
110379,IC-1196658,28131,2.0,2020-10-05 18:16:37
110379,IC-1196655,28124,1.0,2020-10-05 18:16:37
110379,IC-1196652,28121,1.0,2020-10-05 18:16:37
110379,IC-1196651,28120,1.0,2020-10-05 18:16:37
110379,Free-Tea-All,28159,2.0,2020-10-05 18:16:37
110379,Free-Perfume,28162,1.0,2020-10-05 18:16:37
110376,IC-1083997,27491,1.0,2020-10-08 07:50:56
110385,IC-1194008,25048,2.0,2020-10-08 07:51:00
110385,Free-Tea-All,28159,2.0,2020-10-08 07:51:00
110385,Free-Perfume,28162,1.0,2020-10-08 07:51:00
110386,IC-1189748,26333,1.0,2020-10-09 11:39:04
110386,Free-Tea-All,28159,2.0,2020-10-09 11:39:04
110386,Free-Perfume,28162,1.0,2020-10-09 11:39:04
110380,IC-1188435,27909,9.0,2020-10-10 07:52:46
110380,Free-Tea-All,28159,2.0,2020-10-10 07:52:46
110380,Free-Perfume,28162,1.0,2020-10-10 07:52:46
110388,IC-1196653,28141,1.0,2020-10-10 07:58:01
110388,IC-1196656,28135,1.0,2020-10-10 07:58:01
110388,Free-Tea-All,28159,2.0,2020-10-10 07:58:01
110388,Free-Perfume,28162,1.0,2020-10-10 07:58:01
110389,IC-1196653,28141,1.0,2020-10-10 08:01:23
110389,IC-1196656,28135,1.0,2020-10-10 08:01:23
110389,Free-Tea-All,28159,2.0,2020-10-10 08:01:23
110389,Free-Perfume,28162,1.0,2020-10-10 08:01:23
110390,IC-1188179,21338,3.0,2020-10-12 05:54:55
110390,IC-1194012,25052,3.0,2020-10-12 05:54:55
110390,IC-1194014,25054,2.0,2020-10-12 05:54:55
110390,IC-1185370,19999,2.0,2020-10-12 05:54:55
110390,Free-Tea-All,28159,2.0,2020-10-12 05:54:55
110390,Free-Perfume,28162,1.0,2020-10-12 05:54:55
110391,IC-1196653,28141,2.0,2020-10-12 06:43:00
110391,IC-1196654,28142,2.0,2020-10-12 06:43:00
110391,IC-1196656,28135,2.0,2020-10-12 06:43:00
110391,Free-Tea-All,28159,2.0,2020-10-12 06:43:00
110391,Free-Perfume,28162,1.0,2020-10-12 06:43:00
110530,IC-1196653,28141,2.0,2020-11-30 09:49:12
110530,IC-1196656,28135,2.0,2020-11-30 09:49:12
110530,Free-Tea-All,28159,2.0,2020-11-30 09:49:12
110530,Free-Perfume,28162,1.0,2020-11-30 09:49:12
110547,IC-1196659,28143,1.0,2020-12-22 13:02:50
110547,Free-Tea-All,28159,3.0,2020-12-22 13:02:50
110547,Free-Dhanya-Groc,28160,2.0,2020-12-22 13:02:50
110547,Free-Podina-Groc,28161,1.0,2020-12-22 13:02:50
110547,IC-1196654,28142,1.0,2020-12-22 13:02:50
110538,IC-1083997,27491,1.0,2020-12-23 04:38:59
110538,Free-Tea-All,28159,3.0,2020-12-23 04:38:59
110538,IC-1083997,27491,1.0,2020-12-23 04:41:08
110538,Free-Tea-All,28159,3.0,2020-12-23 04:41:08
110544,IC-1196654,28142,2.0,2020-12-23 06:54:31
110544,Free-Tea-All,28159,3.0,2020-12-23 06:54:31
110544,Free-Dhanya-Groc,28160,2.0,2020-12-23 06:54:31
110544,Free-Podina-Groc,28161,1.0,2020-12-23 06:54:31
110544,IC-1195590,27904,1.0,2020-12-23 06:54:31
110543,IC-1040467,28098,1.0,2020-12-23 07:46:39
110551,IC-1195520,28103,1.0,2021-01-04 08:10:21
110551,Free-Tea-All,28159,3.0,2021-01-04 08:10:21
110551,IC-1195575,28105,1.0,2021-01-04 08:10:21
110577,IC-1194132,27565,1.0,2021-01-04 08:24:10
110577,Free-Tea-All,28159,1.0,2021-01-04 08:24:10
110577,IC-1176005,27518,1.0,2021-01-04 08:24:10
110575,IC-1195520,28103,1.0,2021-01-04 10:34:29
110611,IC-1194010,25050,1.0,2021-01-25 07:06:49
110610,IC-1194008,25048,1.0,2021-01-25 07:06:49
110609,IC-1194012,25052,1.0,2021-01-25 07:06:50
110609,IC-1120110,10127,1.0,2021-01-25 07:06:50
110609,Free-Dhanya-Groc,28160,2.0,2021-01-25 07:06:50
110609,Free-Podina-Groc,28161,1.0,2021-01-25 07:06:50
110604,IC-1118931,8886,1.0,2021-01-25 07:06:50
110604,Free-Dhanya-Groc,28160,2.0,2021-01-25 07:06:50
110604,Free-Podina-Groc,28161,1.0,2021-01-25 07:06:50
110576,IC-1195520,28103,2.0,2021-01-25 07:06:51
110626,IC-1196654,28142,1.0,2021-02-02 09:41:16
110626,Free-Dhanya-Groc,28160,2.0,2021-02-02 09:41:16
110626,Free-Podina-Groc,28161,1.0,2021-02-02 09:41:16
110626,IC-1196653,28141,1.0,2021-02-02 09:41:16
110626,IC-1196656,28135,1.0,2021-02-02 09:41:16
110647,IC-1195210,27425,1.0,2021-02-03 10:26:37
110652,IC-1194012,25052,1.0,2021-02-03 10:41:48
110658,IC-1196653,28141,1.0,2021-02-09 12:37:21
110658,Free-Dhanya-Groc,28160,2.0,2021-02-09 12:37:21
110658,Free-Podina-Groc,28161,1.0,2021-02-09 12:37:21
110659,IC-1194017,25057,1.0,2021-02-09 12:44:03
110659,IC-1196653,28141,1.0,2021-02-09 12:44:03
110659,Free-Dhanya-Groc,28160,2.0,2021-02-09 12:44:03
110659,Free-Podina-Groc,28161,1.0,2021-02-09 12:44:03
110657,IC-1196653,28141,1.0,2021-02-09 12:52:14
