sku_id,product_id,sku_name,category,sub_category,brand,is_perishable,shelf_life_days,unit_cost,price,special_price,moq,pack_size,supplier_id,supplier_lead_time_days,picking_mode,is_dropship,status,visibility,weight,barcode,created_at,updated_at
IC-1145743,130,Beaver Professional Argan Oil Bouncy-Curly Cream 250ml,Health & Beauty,,Beaver,False,,,2550.0,,1,1,,10.0,Drop by Vendor,True,1,4,0.0,6943074196405,2018-11-30 12:14:28,2025-01-22 15:14:20
IC-1006982,131,La Vache Qui Rit 24 Portions Cheese 360gm,Groceries & Pets,,La Vache,False,,,795.0,,1,1,,3.0,Naheed Super Market,False,1,4,0.39,3073780574310,2018-11-30 12:14:29,2025-01-15 08:32:32
IC-1160017,132,La Vache Qui Rit 8 Portions 120gm,Groceries & Pets,,La Vache,False,,265.0,265.0,186.0,1,1,,10.0,Drop by Vendor,True,1,4,0.135,3073786155186,2018-11-30 12:14:30,2025-07-02 05:54:45
IC-1160018,133,La Vache Qui Rit 32 Portions 480gm,Groceries & Pets,,La Vache,False,,1050.0,1050.0,,1,1,,7.0,,False,1,4,0.515,3073780593083,2018-11-30 12:14:31,2025-04-07 12:04:08
IC-1160019,134,La Vache Qui Rit 48 Portions 720gm,Groceries & Pets,,La Vache,False,,1525.0,1525.0,1068.0,1,1,,7.0,,False,1,4,0.785,3073781048957,2018-11-30 12:14:32,2025-07-02 05:53:30
IC-1007021,135,MagicTime Light Butter Popcorn 240gm,Groceries & Pets,,MagicTime,False,,,450.0,,1,1,,10.0,Drop Shipping,True,1,4,0.3,658444301032,2018-11-30 12:14:33,2025-01-15 08:32:33
IC-1007023,137,MagicTime 94% Fat Free Butter Popcorn 240gm,Groceries & Pets,,MagicTime,False,,,450.0,,1,1,,7.0,,False,1,4,0.3,658444301063,2018-11-30 12:14:35,2025-01-15 08:32:33
IC-1007207,140,MagicTime White Cheddar Popcorn 240gm,Groceries & Pets,,MagicTime,False,,,390.0,,1,1,,7.0,,False,1,4,0.3,658444301117,2018-11-30 12:14:38,2025-01-15 08:32:33
IC-1143712,141,Beaver Professional Keratin Hair Thickening Shampoo 410ml,Health & Beauty,,Beaver,False,,,3200.0,,1,1,,7.0,,False,1,4,0.48,6943074196016,2018-11-30 12:14:40,2025-01-15 08:32:34
IC-1020690,142,Magic Time Bread Crumbs Plain 425gm,Groceries & Pets,,MagicTime,False,,,270.0,,1,1,,7.0,,False,1,4,0.49,658444500015,2018-11-30 12:14:41,2025-01-15 08:32:34
