sku,product_id,channel,date,forecast_horizon_day,y_pred,as_of_date,model_version
IC-1001018,4311,naheed_web,2026-07-01,1,0.019273897351144723,2026-06-30,lgbm_global_v1
IC-1001018,4311,naheed_web,2026-07-02,2,0.04377768199832447,2026-06-30,lgbm_global_v1
IC-1001018,4311,naheed_web,2026-07-03,3,0.04636019645781307,2026-06-30,lgbm_global_v1
IC-1001018,4311,naheed_web,2026-07-04,4,0.04786936445269798,2026-06-30,lgbm_global_v1
IC-1001018,4311,naheed_web,2026-07-05,5,0.05371915856377098,2026-06-30,lgbm_global_v1
IC-1001018,4311,naheed_web,2026-07-06,6,0.07964154099511725,2026-06-30,lgbm_global_v1
IC-1001018,4311,naheed_web,2026-07-07,7,0.06478434563818752,2026-06-30,lgbm_global_v1
IC-1001018,4311,naheed_web,2026-07-08,8,0.05029829062794806,2026-06-30,lgbm_global_v1
IC-1001018,4311,naheed_web,2026-07-09,9,0.04190267614995683,2026-06-30,lgbm_global_v1
IC-1001018,4311,naheed_web,2026-07-10,10,0.044508582541846774,2026-06-30,lgbm_global_v1
IC-1001018,4311,naheed_web,2026-07-11,11,0.047903597643868645,2026-06-30,lgbm_global_v1
IC-1001018,4311,naheed_web,2026-07-12,12,0.05557655775419816,2026-06-30,lgbm_global_v1
IC-1001018,4311,naheed_web,2026-07-13,13,0.07674603254168127,2026-06-30,lgbm_global_v1
IC-1001018,4311,naheed_web,2026-07-14,14,0.062428996682079456,2026-06-30,lgbm_global_v1
IC-1005194,22467,naheed_web,2026-07-01,1,22.9704700729477,2026-06-30,lgbm_global_v1
IC-1005194,22467,naheed_web,2026-07-02,2,14.386704581913182,2026-06-30,lgbm_global_v1
IC-1005194,22467,naheed_web,2026-07-03,3,16.06430399094277,2026-06-30,lgbm_global_v1
IC-1005194,22467,naheed_web,2026-07-04,4,16.541963720290497,2026-06-30,lgbm_global_v1
IC-1005194,22467,naheed_web,2026-07-05,5,15.607888848837565,2026-06-30,lgbm_global_v1
IC-1005194,22467,naheed_web,2026-07-06,6,22.47986737069686,2026-06-30,lgbm_global_v1
IC-1005194,22467,naheed_web,2026-07-07,7,16.311858143690422,2026-06-30,lgbm_global_v1
IC-1005194,22467,naheed_web,2026-07-08,8,16.59394790010403,2026-06-30,lgbm_global_v1
IC-1005194,22467,naheed_web,2026-07-09,9,12.647925813286614,2026-06-30,lgbm_global_v1
