sku,category,brand,name,units
IC-1055803,Groceries & Pets,Naheed,Naheed Sugar Danedar Special 1 KG,11818.0
IC-1018771,Groceries & Pets,Nestle,Nestle Nesvita Low Fat Milk 200ml,6215.0
IC-1053521,Groceries & Pets,Nestle,Nestle Pure Life Drinking Water 1.5 Litres,4553.0
IC-1147930,Groceries & Pets,Nestle,Nestle Pure Life Drinking Water 330ml,4278.0
IC-1032718,Groceries & Pets,Candyland,"Candyland Chili Mili Jelly, Fun Pack 20g",4191.0
IC-1166005,Groceries & Pets,Dayfresh,Dayfresh Lactose Free Milk 200ml,3393.0
IC-1138507,Groceries & Pets,Knorr,"Knorr Noodles Chatt Patta, 66g, Family Pack, 4 Pieces",3303.0
IC-1116441,Groceries & Pets,Day Fresh,Day Fresh Full Cream Milk 235ml,3085.0
IC-1053526,Groceries & Pets,Nestle,Nestle Pure Life Drinking Water 0.5 Litre,3083.0
IC-1057685,Groceries & Pets,Masafi,Masafi Pure Drinking Water 500ml,2762.0
IC-1133439,Groceries & Pets,Aquafina,Aquafina Water 6 Litre,2682.0
IC-1018988,Groceries & Pets,Engro Foods,Olper's Milk 1000ml,2680.0
IC-1037570,Groceries & Pets,Rose Petal,Rose Petal Pop Up Tissue,2451.0
IC-1177117,Groceries & Pets,Samyang,"Samyang Carbo Hot Chicken Flavor Ramen Noodle, Stir-Fried, 130g",2436.0
IC-1005194,Groceries & Pets,Kolson,"Kolson Potato Sticks, Pepper & Salt, 38g",2424.0
IC-1044359,Health & Beauty,Tinkle,"Tinkle Women Eyebrow Razor, 3 Pieces",3396.0
IC-1088406,Health & Beauty,Maybelline New York,Maybelline New York Colossal Kajal,1936.0
IC-1134493,Health & Beauty,Maybelline New York,Maybelline New York Baby Skin Lightweight Primer,1708.0
IC-1166220,Health & Beauty,Neutrogena,"Neutrogena Hydro Boost Water Gel, Normal to Combination Skin, 50ml",1418.0
IC-1001018,Health & Beauty,Maybelline New York,Maybelline New York Volum' Express Colossal Mascara 100% Black,1346.0
IC-1178594,Health & Beauty,Maybelline New York,"Maybelline Fit Me Matte + Poreless Liquid Foundation, 120, Classic Ivory, 18ml",1184.0
IC-1166218,Health & Beauty,Neutrogena,"Neutrogena Hydro Boost Cleanser Water Gel, 200ml",1081.0
IC-1178591,Health & Beauty,Maybelline New York,"Maybelline Fit Me Matte + Poreless Liquid Foundation, 115, Ivory",1009.0
IC-1185817,Health & Beauty,Garnier,"Garnier Skin Active Hydra Bomb Ultra Hydrating Glow Boosting Face Mask, For Dull Skin, 32g",919.0
IC-1094191,Health & Beauty,Calypso,Calypso Passion Bath Flower Loofah,837.0
IC-1020926,Health & Beauty,Pears,"Pears Transparent Soap With Natural Oils, 125g",784.0
IC-1097379,Health & Beauty,Simple,"Simple Kind To Skin Refreshing Facial Wash Gel, Alcohol + Paraben Free, 150ml",783.0
IC-1044104,Health & Beauty,Butterfly,Butterfly Breathables Ultra Thin Extra Large 10-Pack,771.0
IC-1042719,Health & Beauty,Tibet,Tibet Snow Cream,770.0
IC-1172128,Health & Beauty,OGX,"OGX Thick & Full + Biotin & Collagen Shampoo, Sulfate Free, 385ml",766.0
